Child_Node,Reward
1,0.2600
2,0.2400
3,0.2800
4,0.1600
5,0.3200
6,0.3600
7,0.3400
8,0.3400
9,0.3600
10,0.3600
11,0.3600
12,0.3600
13,0.3400
14,0.3400
15,0.4800
16,0.3600
17,0.3000
18,0.3400
19,0.3400
20,0.3200
21,0.3400
22,0.4000
23,0.4200
24,0.3000
25,0.4200
26,0.4000
27,0.4200
28,0.1800
29,0.4800
30,0.3800
31,0.4800
32,0.3600
33,0.3600
34,0.4200
35,0.3200
36,0.3600
37,0.3800
38,0.4800
39,0.4200
40,0.3800
41,0.3000
42,0.4000
43,0.3800
44,0.5200
45,0.3800
46,0.3400
47,0.2800
48,0.3600
49,0.3400
50,0.4600
51,0.4200
52,0.3600
53,0.4400
54,0.3400
55,0.2800
56,0.4600
57,0.3400
