Child_Node,Reward
1,0.3600
2,0.3200
3,0.3000
4,0.3800
5,0.3200
6,0.3400
7,0.3800
8,0.3000
9,0.3200
10,0.1800
11,0.3200
12,0.4600
13,0.3600
14,0.2800
15,0.3800
16,0.3200
17,0.3600
18,0.3600
19,0.1400
20,0.0600
21,0.3400
22,0.4800
23,0.3600
24,0.4600
25,0.3600
26,0.3800
27,0.5200
28,0.4800
29,0.3200
30,0.4000
31,0.4800
32,0.4800
33,0.4200
34,0.3800
35,0.4200
36,0.3400
37,0.4400
38,0.4000
39,0.4400
40,0.4200
41,0.4000
42,0.3800
43,0.3000
44,0.4400
45,0.3800
46,0.3400
47,0.6000
48,0.2600
49,0.2000
50,0.2600
51,0.2400
52,0.3800
53,0.4000
54,0.3200
55,0.3200
56,0.3400
57,0.3200
58,0.4000
59,0.3800
60,0.4000
