Child_Node,Reward
1,0.2200
2,0.3800
3,0.2000
4,0.3400
5,0.4000
6,0.3800
7,0.3400
8,0.3400
9,0.4000
10,0.4200
11,0.4200
12,0.5200
13,0.2600
14,0.3800
15,0.3400
16,0.2600
17,0.4000
18,0.2800
19,0.4400
20,0.4200
21,0.4400
22,0.3600
23,0.3400
24,0.3400
25,0.3200
26,0.4200
27,0.3600
28,0.3200
29,0.3800
30,0.3200
31,0.4200
32,0.4600
33,0.4000
34,0.4000
35,0.4800
36,0.4800
37,0.4400
38,0.4400
39,0.4800
40,0.3800
41,0.4200
42,0.6200
43,0.4000
44,0.5000
45,0.5400
46,0.3400
47,0.4400
48,0.4000
49,0.1600
50,0.3200
51,0.4400
52,0.3600
53,0.3200
54,0.4400
55,0.4000
56,0.4400
57,0.2800
58,0.5000
59,0.4400
60,0.3800
