Child_Node,Reward
1,0.2400
2,0.3000
3,0.3200
4,0.4200
5,0.4800
6,0.3000
7,0.2800
8,0.3000
9,0.2600
10,0.4400
11,0.3400
12,0.3400
13,0.3600
14,0.4400
15,0.3800
16,0.3600
17,0.4200
18,0.3200
19,0.3600
20,0.3000
21,0.2200
22,0.2400
23,0.4200
24,0.3000
25,0.3600
26,0.2800
27,0.5000
28,0.4000
29,0.4000
30,0.3400
31,0.3400
32,0.4200
33,0.4200
34,0.3800
35,0.4600
36,0.2600
37,0.3600
38,0.2200
39,0.3600
40,0.3400
41,0.4000
42,0.3200
43,0.5000
44,0.2200
45,0.4400
46,0.2200
47,0.3200
48,0.3000
49,0.3600
50,0.4400
51,0.4400
52,0.3600
53,0.4000
54,0.3200
55,0.3800
56,0.3000
57,0.4000
