Child_Node,Reward
1,0.6200
2,0.6000
3,0.6600
4,0.5600
5,0.5400
6,0.4800
7,0.5800
8,0.5800
9,0.5600
10,0.5000
11,0.5200
12,0.5600
13,0.5600
14,0.5200
15,0.5800
16,0.5600
17,0.5200
18,0.5400
19,0.4800
20,0.5600
21,0.5000
22,0.6000
23,0.5600
24,0.5800
25,0.4600
26,0.6200
27,0.6400
28,0.4800
29,0.5600
30,0.5000
31,0.4800
32,0.5800
33,0.5800
34,0.5400
35,0.6200
36,0.6400
37,0.5800
38,0.6200
39,0.6200
40,0.6200
41,0.5600
42,0.5200
43,0.6000
44,0.6400
45,0.5800
