Child_Node,Reward
1,0.4200
2,0.2000
3,0.4200
4,0.3800
5,0.3400
6,0.3600
7,0.2800
8,0.4000
9,0.3600
10,0.3200
11,0.3800
12,0.3400
13,0.3000
14,0.3800
15,0.3200
16,0.3400
17,0.2800
18,0.4600
19,0.2600
20,0.3600
21,0.3400
22,0.2000
23,0.3800
24,0.4000
25,0.4000
26,0.3800
27,0.4000
28,0.3800
29,0.2400
30,0.3800
31,0.3800
32,0.3600
33,0.4400
34,0.4200
35,0.2600
36,0.4200
37,0.3600
38,0.4600
39,0.4200
40,0.6000
41,0.5400
42,0.4800
43,0.3200
44,0.3600
45,0.5000
46,0.3400
47,0.5000
48,0.3600
49,0.3200
50,0.4200
51,0.3600
52,0.4600
53,0.3600
54,0.4000
55,0.3800
56,0.4000
57,0.2800
58,0.2800
59,0.2600
60,0.3600
61,0.3800
62,0.3000
63,0.3200
64,0.3800
65,0.4000
66,0.4800
67,0.6800
68,0.3800
69,0.6400
