Child_Node,Reward
1,0.3200
2,0.2200
3,0.2600
4,0.3200
5,0.3600
6,0.1000
7,0.4400
8,0.1400
9,0.2600
10,0.3400
11,0.3400
12,0.3800
13,0.3000
14,0.4000
15,0.4200
16,0.3200
17,0.3600
18,0.3400
19,0.3400
20,0.4800
21,0.3600
22,0.4400
23,0.4400
24,0.4000
25,0.3400
26,0.4800
27,0.3000
28,0.4400
29,0.3400
30,0.3800
31,0.3600
32,0.0400
33,0.3600
34,0.3600
35,0.3600
36,0.2800
37,0.4000
38,0.2400
39,0.3200
40,0.3000
41,0.4200
42,0.3600
43,0.5200
44,0.2600
45,0.3400
46,0.3800
47,0.3000
48,0.2800
49,0.3000
50,0.2600
51,0.3800
52,0.3800
53,0.4000
54,0.4000
