Child_Node,Reward
1,0.3200
2,0.3800
3,0.2600
4,0.2800
5,0.1400
6,0.4400
7,0.3800
8,0.3800
9,0.3200
10,0.4200
11,0.4600
12,0.3000
13,0.3600
14,0.2000
15,0.3800
16,0.4000
17,0.4600
18,0.4200
19,0.3600
20,0.4200
21,0.4800
22,0.2000
23,0.4200
24,0.4000
25,0.3600
26,0.3200
27,0.3600
28,0.3600
29,0.3400
30,0.4000
31,0.3400
32,0.3200
33,0.3600
34,0.3400
35,0.1200
36,0.3400
37,0.3400
38,0.3400
39,0.3400
40,0.3200
41,0.4200
42,0.4000
43,0.4200
44,0.3600
45,0.4200
46,0.4000
47,0.4000
48,0.3000
49,0.5000
50,0.4400
51,0.3600
52,0.1400
53,0.4000
54,0.2600
55,0.4200
56,0.3600
57,0.4200
58,0.3400
59,0.4000
60,0.3800
