Child_Node,Reward
1,0.4400
2,0.2800
3,0.3400
4,0.3400
5,0.3000
6,0.5400
7,0.3800
8,0.4600
9,0.2800
10,0.4800
11,0.5000
12,0.3200
13,0.4400
14,0.3600
15,0.5600
16,0.4800
17,0.4800
18,0.4000
19,0.4200
20,0.3200
21,0.3400
22,0.4000
23,0.4200
24,0.3600
25,0.3400
26,0.3400
27,0.2800
28,0.2800
29,0.4200
30,0.3200
31,0.3200
32,0.4000
33,0.4200
34,0.4600
35,0.4000
36,0.2000
37,0.4400
38,0.2600
39,0.4200
40,0.3400
41,0.4000
42,0.4600
43,0.2000
44,0.3800
45,0.4200
46,0.4200
47,0.4800
48,0.3200
49,0.3200
50,0.4800
51,0.3800
52,0.3800
53,0.5200
54,0.4600
