Child_Node,Reward
1,0.2400
2,0.3200
3,0.3600
4,0.3600
5,0.5200
6,0.2400
7,0.2000
8,0.3800
9,0.3400
10,0.3600
11,0.3400
12,0.3800
13,0.3800
14,0.1200
15,0.3400
16,0.3600
17,0.3200
18,0.3800
19,0.4400
20,0.4000
21,0.3800
22,0.3600
23,0.3800
24,0.3600
25,0.3000
26,0.3600
27,0.2600
28,0.3200
29,0.3000
30,0.3600
31,0.4200
32,0.4200
33,0.4200
34,0.4400
35,0.4600
36,0.3800
37,0.3000
38,0.4400
39,0.2000
40,0.2800
41,0.4800
42,0.3600
43,0.4200
44,0.2400
45,0.3600
46,0.0200
47,0.2000
48,0.3600
49,0.3800
50,0.4400
51,0.3400
52,0.1600
53,0.3400
54,0.3600
55,0.3000
56,0.3400
57,0.3400
